historico,entidad,seccion,pe,ln
1,29,0,9986,4270
1,29,12,1184,1179
1,29,13,2461,2447
1,29,14,5308,5279
1,29,15,1717,1707
1,29,16,1685,1680
1,29,17,1354,1349
1,29,18,1074,1067
1,29,19,1123,1117
1,29,20,981,974
1,29,21,448,447
1,29,22,1376,1369
1,29,23,683,680
1,29,24,865,859
1,29,25,1313,1307
1,29,26,1399,1391
1,29,27,2147,2134
1,29,28,1428,1416
1,29,29,1730,1721
1,29,31,3099,3079
1,29,32,1920,1904
1,29,33,2248,2232
1,29,34,1400,1389
1,29,35,1194,1184
1,29,36,2121,2105
1,29,37,1315,1307
1,29,39,1290,1278
1,29,40,2823,2805
1,29,42,653,651
1,29,43,4230,4210
1,29,44,2553,2531
1,29,45,475,475
1,29,46,2102,2094
1,29,47,2775,2763
1,29,48,361,361
1,29,618,1628,1622
1,29,619,1905,1901
1,29,634,2646,2625
1,29,635,2375,2359
1,29,636,1432,1428
1,29,49,792,784
1,29,50,396,395
1,29,51,372,370
1,29,52,121,120
1,29,53,1239,1230
1,29,54,490,489
1,29,55,394,390
1,29,56,1339,1322
1,29,57,396,394
1,29,59,1069,1058
1,29,60,838,831
1,29,61,553,552
1,29,62,369,365
1,29,63,387,383
1,29,64,238,235
1,29,65,243,236
1,29,66,534,531
1,29,67,255,252
1,29,68,2283,2262
1,29,69,948,937
1,29,70,569,564
1,29,71,1082,1072
1,29,72,795,785
1,29,73,318,315
1,29,74,1189,1176
1,29,75,516,512
1,29,76,216,216
1,29,77,1567,1560
1,29,100,3244,3212
1,29,101,2208,2187
1,29,102,2352,2337
1,29,103,1498,1483
1,29,104,2927,2901
1,29,105,495,488
1,29,106,237,234
1,29,107,3136,3106
1,29,108,1972,1952
1,29,109,2582,2559
1,29,110,1656,1640
1,29,111,289,287
1,29,112,164,164
1,29,113,318,315
1,29,114,939,930
1,29,115,551,545
1,29,116,511,506
1,29,117,1490,1468
1,29,118,1156,1150
1,29,119,628,625
1,29,120,296,296
1,29,121,1455,1438
1,29,178,4465,4424
1,29,179,4620,4582
1,29,180,4340,4300
1,29,181,2218,2200
1,29,182,1595,1572
1,29,183,2366,2345
1,29,184,1708,1693
1,29,185,1483,1475
1,29,186,1281,1271
1,29,187,2014,2004
1,29,188,4893,4844
1,29,189,1592,1584
1,29,190,1065,1053
1,29,191,1301,1288
1,29,192,2265,2251
1,29,193,995,991
1,29,194,3113,3083
