id,entidad,seccion,pe,ln
1,29,12,1190,1178
2,29,13,2466,2438
3,29,14,5324,5259
4,29,15,1717,1701
5,29,16,1681,1665
6,29,17,1352,1340
7,29,18,1078,1060
8,29,19,1124,1111
9,29,20,980,971
10,29,21,448,446
11,29,22,1381,1360
12,29,23,679,674
13,29,24,866,856
14,29,25,1309,1296
15,29,26,1401,1389
16,29,27,2147,2133
17,29,28,1426,1415
18,29,29,1731,1713
19,29,31,3103,3076
20,29,32,1922,1899
21,29,33,2246,2223
22,29,34,1402,1390
23,29,35,1194,1179
24,29,36,2128,2104
25,29,37,1318,1302
26,29,39,1295,1274
27,29,40,2834,2799
28,29,42,653,648
29,29,43,4234,4196
30,29,44,2555,2536
31,29,45,473,472
32,29,46,2105,2091
33,29,47,2778,2747
34,29,48,360,358
35,29,618,1632,1609
36,29,619,1909,1892
37,29,634,2653,2624
38,29,635,2381,2356
39,29,636,1430,1419
40,29,49,795,781
41,29,50,398,393
42,29,51,372,372
43,29,52,121,121
44,29,53,1238,1221
45,29,54,491,484
46,29,55,394,389
47,29,56,1341,1309
48,29,57,394,390
49,29,59,1078,1055
50,29,60,839,823
51,29,61,554,548
52,29,62,371,365
53,29,63,388,383
54,29,64,237,226
55,29,65,243,238
56,29,66,536,527
57,29,67,255,250
58,29,68,2283,2255
59,29,69,951,931
60,29,70,572,563
61,29,71,1089,1065
62,29,72,798,780
63,29,73,318,312
64,29,74,1189,1169
65,29,75,517,509
66,29,76,217,217
67,29,77,1568,1544
68,29,100,3251,3206
69,29,101,2217,2191
70,29,102,2354,2321
71,29,103,1504,1481
72,29,104,2955,2904
73,29,105,498,484
74,29,106,237,236
75,29,107,3146,3109
76,29,108,1983,1951
77,29,109,2591,2548
78,29,110,1658,1638
79,29,111,293,282
80,29,112,164,158
81,29,113,317,314
82,29,114,940,924
83,29,115,553,545
84,29,116,511,490
85,29,117,1494,1469
86,29,118,1159,1142
87,29,119,629,623
88,29,120,298,288
89,29,121,1456,1432
90,29,178,4479,4418
91,29,179,4619,4566
92,29,180,4360,4294
93,29,181,2214,2197
94,29,182,1595,1576
95,29,183,2365,2348
96,29,184,1711,1696
97,29,185,1488,1469
98,29,186,1283,1260
99,29,187,2011,1989
100,29,188,4910,4846
101,29,189,1592,1575
102,29,190,1068,1056
103,29,191,1306,1284
104,29,192,2271,2248
105,29,193,996,986
106,29,194,3121,3082
107,29,195,2427,2399
108,29,196,1301,1282
109,29,197,291,285
110,29,198,658,649
111,29,199,831,813
112,29,200,1594,1572
113,29,201,4169,4113
114,29,202,644,633
115,29,203,2258,2238
116,29,204,2905,2879
117,29,205,323,317
118,29,206,1319,1306
119,29,207,839,830
120,29,208,958,945
121,29,209,901,893
122,29,210,287,286
123,29,211,1092,1081
124,29,212,596,588
125,29,213,3336,3293
126,29,214,2551,2523
127,29,215,373,364
128,29,216,1103,1087
129,29,217,1149,1140
130,29,218,760,748
131,29,219,985,974
132,29,259,1657,1634
133,29,260,1339,1322
134,29,261,1690,1664
135,29,262,1363,1344
136,29,365,3320,3278
137,29,366,2576,2552
138,29,367,2322,2294
139,29,368,2236,2216
140,29,369,2561,2531
141,29,370,1237,1225
142,29,371,2976,2931
143,29,609,815,807
144,29,398,2836,2800
145,29,399,1804,1787
146,29,403,1265,1251
147,29,404,2776,2724
148,29,405,287,281
149,29,406,527,504
150,29,407,822,804
151,29,408,1488,1457
152,29,409,1725,1704
153,29,410,1406,1380
154,29,411,3123,3089
155,29,412,3659,3625
156,29,413,1468,1452
157,29,414,811,797
158,29,415,1117,1104
159,29,416,1262,1246
160,29,417,364,335
161,29,418,500,495
162,29,419,708,703
163,29,420,2267,2234
164,29,421,2697,2654
165,29,423,254,252
166,29,620,1925,1904
167,29,621,2615,2586
168,29,58,284,283
169,29,470,1149,1138
170,29,471,1611,1581
171,29,472,1491,1475
172,29,473,1218,1206
173,29,474,2118,2096
174,29,475,1328,1314
175,29,476,3407,3366
176,29,477,1124,1106
177,29,478,541,534
178,29,479,352,339
179,29,480,261,239
180,29,481,2085,2051
181,29,482,2023,1994
182,29,483,136,132
183,29,484,1880,1866
184,29,485,770,759
185,29,486,681,676
186,29,487,110,110
187,29,488,1433,1420
188,29,489,111,108
189,29,490,202,199
190,29,491,2805,2770
191,29,492,408,405
192,29,493,541,531
193,29,494,905,891
194,29,495,927,918
195,29,496,722,714
196,29,497,480,471
197,29,498,375,370
198,29,499,1024,1015
199,29,500,506,501
200,29,501,1434,1421
201,29,502,374,370
202,29,503,149,149
203,29,504,229,227
204,29,505,2696,2659
205,29,506,1587,1561
206,29,507,679,665
207,29,520,1588,1572
208,29,521,1129,1114
209,29,522,1392,1380
210,29,523,1289,1277
211,29,524,643,629
212,29,525,973,958
213,29,526,156,155
214,29,529,1659,1637
215,29,530,1453,1441
216,29,536,793,784
217,29,537,289,286
218,29,613,2427,2401
219,29,614,2203,2164
220,29,615,2253,2214
221,29,616,2054,2022
222,29,538,2592,2562
223,29,539,2326,2305
224,29,540,3777,3739
225,29,541,3035,2989
226,29,542,2806,2774
227,29,543,2359,2329
228,29,544,722,714
229,29,545,703,695
230,29,546,873,866
231,29,531,1406,1395
232,29,532,830,818
233,29,533,665,651
234,29,534,1263,1247
235,29,535,694,681
236,29,400,110,110
237,29,401,191,185
238,29,607,2508,2458
239,29,608,857,845
240,29,402,325,319
241,29,606,2302,2271
242,29,1,1286,1270
243,29,2,3882,3841
244,29,3,3259,3215
245,29,4,761,754
246,29,5,2803,2771
247,29,6,896,883
248,29,7,324,323
249,29,8,2394,2361
250,29,9,2832,2805
251,29,10,3069,3025
252,29,11,960,943
253,29,38,1126,1120
254,29,78,4923,4855
255,29,79,2391,2348
256,29,80,1514,1501
257,29,81,1899,1872
258,29,82,2507,2477
259,29,83,2614,2590
260,29,84,777,772
261,29,85,2302,2280
262,29,86,2195,2175
263,29,87,1012,1006
264,29,88,1428,1397
265,29,89,2334,2296
266,29,90,3530,3477
267,29,91,839,829
268,29,92,2239,2209
269,29,93,1448,1434
270,29,94,959,943
271,29,95,492,482
272,29,96,700,693
273,29,97,1062,1053
274,29,98,1832,1802
275,29,161,2107,2092
276,29,162,1084,1073
277,29,163,527,520
278,29,164,311,309
279,29,165,2458,2432
280,29,167,389,385
281,29,168,833,821
282,29,169,295,293
283,29,170,822,814
284,29,171,372,366
285,29,172,373,370
286,29,173,361,357
287,29,174,239,234
288,29,175,672,660
289,29,176,442,440
290,29,177,406,401
291,29,220,2422,2393
292,29,221,2313,2280
293,29,222,1314,1296
294,29,223,416,408
295,29,224,804,794
296,29,225,317,308
297,29,226,597,584
298,29,227,698,680
299,29,228,2554,2516
