ENTIDAD,DISTRITO,DISTRITO_LOCAL,MUNICIPIO,SECCION,TIPO
29,1,4,3,12,2
29,1,4,3,13,2
29,1,4,3,14,2
29,1,4,3,15,2
29,1,4,3,16,3
29,1,4,3,17,2
29,1,4,3,18,2
29,1,4,3,19,2
29,1,4,3,20,2
29,1,4,3,21,2
29,1,4,3,22,2
29,1,4,3,23,2
29,1,4,3,24,2
29,1,4,3,25,2
29,1,4,3,26,2
29,1,4,3,27,2
29,1,4,3,28,2
29,1,4,3,29,2
29,1,4,3,31,2
29,1,4,3,32,2
29,1,4,3,33,2
29,1,4,3,34,2
29,1,4,3,35,2
29,1,4,3,36,2
29,1,4,3,37,2
29,1,4,3,39,2
29,1,4,3,40,2
29,1,4,3,42,2
29,1,4,3,43,2
29,1,4,3,44,2
29,1,4,3,45,2
29,1,4,3,46,2
29,1,4,3,47,2
29,1,4,3,48,2
29,1,4,3,618,2
29,1,4,3,619,2
29,1,4,3,634,2
29,1,4,3,635,2
29,1,4,3,636,2
29,1,3,4,49,3
29,1,3,4,50,4
29,1,3,4,51,4
29,1,3,4,52,4
29,1,3,4,53,3
29,1,3,4,54,4
29,1,3,4,55,4
29,1,3,4,56,3
29,1,3,4,57,4
29,1,11,5,59,3
29,1,11,5,60,3
29,1,11,5,61,4
29,1,11,5,62,4
29,1,11,5,63,4
29,1,11,5,64,4
29,1,11,5,65,4
29,1,11,5,66,4
29,1,11,5,67,4
29,1,11,5,68,3
29,1,11,5,69,3
29,1,11,5,70,4
29,1,11,5,71,4
29,1,11,5,72,4
29,1,11,5,73,4
29,1,11,5,74,3
29,1,11,5,75,4
29,1,11,5,76,4
29,1,11,5,77,2
29,1,11,7,100,2
29,1,11,7,101,2
29,1,11,7,102,2
29,1,11,7,103,3
29,1,11,7,104,2
29,1,11,7,105,4
29,1,11,7,106,4
29,1,11,8,107,3
29,1,11,8,108,2
29,1,11,8,109,2
29,1,11,8,110,3
29,1,11,8,111,4
29,1,11,8,112,4
29,1,11,8,113,4
29,1,11,8,114,3
29,1,11,8,115,4
29,1,11,8,116,4
29,1,8,9,117,2
29,1,8,9,118,2
29,1,8,9,119,4
29,1,8,9,120,4
29,1,8,9,121,4
29,1,10,13,178,3
29,1,10,13,179,2
29,1,11,13,180,3
29,1,11,13,181,2
29,1,10,13,182,2
29,1,10,13,183,2
29,1,10,13,184,2
29,1,10,13,185,2
29,1,10,13,186,2
29,1,11,13,187,2
29,1,11,13,188,2
29,1,10,13,189,2
29,1,10,13,190,2
29,1,10,13,191,2
29,1,10,13,192,2
29,1,10,13,193,3
29,1,10,13,194,2
29,1,10,13,195,2
29,1,10,13,196,3
29,1,11,13,197,4
29,1,11,13,198,4
29,1,10,13,199,4
29,1,10,13,200,2
29,1,11,13,201,3
29,1,11,13,202,4
29,1,11,13,203,3
29,1,11,13,204,3
29,1,10,13,205,4
29,1,10,13,206,3
29,1,10,13,207,3
29,1,10,13,208,4
29,1,10,13,209,3
29,1,10,13,210,4
29,1,10,13,211,3
29,1,11,13,212,4
29,1,10,13,213,2
29,1,10,13,214,2
29,1,10,13,215,4
29,1,10,13,216,4
29,1,10,13,217,2
29,1,10,13,218,2
29,1,10,13,219,3
29,1,10,16,259,2
29,1,10,16,260,2
29,1,10,16,261,2
29,1,10,16,262,2
29,1,8,26,365,2
29,1,8,26,366,2
29,1,8,26,367,2
29,1,8,26,368,2
29,1,8,26,369,2
29,1,8,26,370,2
29,1,8,26,371,3
29,1,8,26,609,2
29,1,3,30,398,3
29,1,3,30,399,3
29,1,3,30,403,3
29,1,3,30,404,3
29,1,3,30,405,4
29,1,3,30,406,4
29,1,3,30,407,3
29,1,3,30,408,3
29,1,3,31,409,2
29,1,3,31,410,2
29,1,3,31,411,2
29,1,3,31,412,2
29,1,3,31,413,2
29,1,3,31,414,2
29,1,3,31,415,2
